word,hiragana,romaji,reason,note,pos,category
地縁,ちえん,chien,abstract_word,kanji_only,普通名詞,抽象物
遅延,ちえん,chien,abstract_word,kanji_only,サ変名詞,抽象物
遅配,ちはい,chihai,abstract_word,kanji_only,サ変名詞,抽象物
地歩,ちほ,chiho,abstract_word,kanji_only,普通名詞,抽象物
地位,ちい,chii,abstract_word,kanji_only,普通名詞,抽象物
地異,ちい,chii,abstract_word,kanji_only,普通名詞,抽象物
置換,ちかん,chikan,abstract_word,kanji_only,サ変名詞,抽象物
地形,ちけい,chikei,abstract_word,kanji_only,普通名詞,抽象物
遅刻,ちこく,chikoku,abstract_word,kanji_only,サ変名詞,抽象物
畜産,ちくさん,chikusan,abstract_word,kanji_only,普通名詞,抽象物
蓄積,ちくせき,chikuseki,abstract_word,kanji_only,サ変名詞,抽象物
蓄財,ちくざい,chikuzai,abstract_word,kanji_only,サ変名詞,抽象物
築造,ちくぞう,chikuzo,abstract_word,kanji_only,サ変名詞,抽象物
地名,ちめい,chimei,abstract_word,kanji_only,普通名詞,抽象物
致命,ちめい,chimei,abstract_word,kanji_only,普通名詞,抽象物
珍,ちん,chin,abstract_word,kanji_only,普通名詞,抽象物
沈没,ちんぼつ,chinbotsu,abstract_word,kanji_only,サ変名詞,抽象物
珍重,ちんちょう,chincho,abstract_word,kanji_only,サ変名詞,抽象物
沈殿,ちんでん,chinden,abstract_word,kanji_only,サ変名詞,抽象物
珍事,ちんじ,chinji,abstract_word,kanji_only,普通名詞,抽象物
沈下,ちんか,chinka,abstract_word,kanji_only,サ変名詞,抽象物
鎮火,ちんか,chinka,abstract_word,kanji_only,サ変名詞,抽象物
沈降,ちんこう,chinko,abstract_word,kanji_only,サ変名詞,抽象物
沈黙,ちんもく,chinmoku,abstract_word,kanji_only,サ変名詞,抽象物
知能,ちのう,chino,abstract_word,kanji_only,普通名詞,抽象物
陳列,ちんれつ,chinretsu,abstract_word,kanji_only,サ変名詞,抽象物
沈静,ちんせい,chinsei,abstract_word,kanji_only,サ変名詞,抽象物
沈潜,ちんせん,chinsen,abstract_word,kanji_only,サ変名詞,抽象物
陳謝,ちんしゃ,chinsha,abstract_word,kanji_only,サ変名詞,抽象物
沈滞,ちんたい,chintai,abstract_word,kanji_only,サ変名詞,抽象物
知恩,ちおん,chion,abstract_word,kanji_only,普通名詞,抽象物
地理,ちり,chiri,abstract_word,kanji_only,普通名詞,抽象物
散々,ちりぢり,chirijiri,abstract_word,kanji_only,普通名詞,抽象物
知力,ちりょく,chiryoku,abstract_word,kanji_only,普通名詞,抽象物
治山,ちさん,chisan,abstract_word,kanji_only,普通名詞,抽象物
地勢,ちせい,chisei,abstract_word,kanji_only,普通名詞,抽象物
知性,ちせい,chisei,abstract_word,kanji_only,普通名詞,抽象物
知識,ちしき,chishiki,abstract_word,kanji_only,普通名詞,抽象物
知新,ちしん,chishin,abstract_word,kanji_only,普通名詞,抽象物
地質,ちしつ,chishitsu,abstract_word,kanji_only,普通名詞,抽象物
遅滞,ちたい,chitai,abstract_word,kanji_only,サ変名詞,抽象物
秩序,ちつじょ,chitsujo,abstract_word,kanji_only,普通名詞,抽象物
張,ちょう,cho,abstract_word,kanji_only,普通名詞,抽象物
調,ちょう,cho,abstract_word,kanji_only,普通名詞,抽象物
寵愛,ちょうあい,choai,abstract_word,kanji_only,サ変名詞,抽象物
眺望,ちょうぼう,chobo,abstract_word,kanji_only,サ変名詞,抽象物
長文,ちょうぶん,chobun,abstract_word,kanji_only,普通名詞,抽象物
長蛇,ちょうだ,choda,abstract_word,kanji_only,普通名詞,抽象物
頂戴,ちょうだい,chodai,abstract_word,kanji_only,サ変名詞,抽象物
超越,ちょうえつ,choetsu,abstract_word,kanji_only,サ変名詞,抽象物
重複,ちょうふく,chofuku,abstract_word,kanji_only,サ変名詞,抽象物
挑発,ちょうはつ,chohatsu,abstract_word,kanji_only,サ変名詞,抽象物
重宝,ちょうほう,choho,abstract_word,kanji_only,サ変名詞,抽象物
弔意,ちょうい,choi,abstract_word,kanji_only,普通名詞,抽象物
帳尻,ちょうじり,chojiri,abstract_word,kanji_only,普通名詞,抽象物
超過,ちょうか,choka,abstract_word,kanji_only,サ変名詞,抽象物
直感,ちょっかん,chokkan,abstract_word,kanji_only,サ変名詞,抽象物
直観,ちょっかん,chokkan,abstract_word,kanji_only,サ変名詞,抽象物
直系,ちょっけい,chokkei,abstract_word,kanji_only,普通名詞,抽象物
直結,ちょっけつ,chokketsu,abstract_word,kanji_only,サ変名詞,抽象物
直行,ちょっこう,chokko,abstract_word,kanji_only,サ変名詞,抽象物
兆候,ちょうこう,choko,abstract_word,kanji_only,普通名詞,抽象物
長考,ちょうこう,choko,abstract_word,kanji_only,サ変名詞,抽象物
直撃,ちょくげき,chokugeki,abstract_word,kanji_only,サ変名詞,抽象物
直言,ちょくげん,chokugen,abstract_word,kanji_only,サ変名詞,抽象物
直立,ちょくりつ,chokuritsu,abstract_word,kanji_only,サ変名詞,抽象物
直射,ちょくしゃ,chokusha,abstract_word,kanji_only,サ変名詞,抽象物
直視,ちょくし,chokushi,abstract_word,kanji_only,サ変名詞,抽象物
直送,ちょくそう,chokuso,abstract_word,kanji_only,サ変名詞,抽象物
直通,ちょくつう,chokutsu,abstract_word,kanji_only,サ変名詞,抽象物
調教,ちょうきょう,chokyo,abstract_word,kanji_only,サ変名詞,抽象物
凋落,ちょうらく,choraku,abstract_word,kanji_only,サ変名詞,抽象物
朝令暮改,ちょうれいぼかい,choreibokai,abstract_word,kanji_only,サ変名詞,抽象物
潮流,ちょうりゅう,choryu,abstract_word,kanji_only,普通名詞,抽象物
貯留,ちょりゅう,choryu,abstract_word,kanji_only,サ変名詞,抽象物
調査,ちょうさ,chosa,abstract_word,kanji_only,サ変名詞,抽象物
調整,ちょうせい,chosei,abstract_word,kanji_only,サ変名詞,抽象物
